model,episode_idx,frames,episode_total_s,obs_s,inference_s,action_s,wait_s,obs_pct,inference_pct,action_pct,wait_pct
so101_act_bottle_cs100,0,544,29.958492,4.565997,11.317215,1.433107,12.642173,15.241077,37.776317,4.783642,42.198964
so101_act_bottle_cs100,1,552,29.958549,4.341676,11.250349,1.468877,12.897646,14.492279,37.553051,4.903030,43.051639
so101_act_bottle_cs100,2,569,29.971877,3.726225,10.329146,1.472118,14.444388,12.432405,34.462794,4.911664,48.193137
so101_act_bottle_cs100,3,544,29.960211,5.228066,11.358847,1.471043,11.902255,17.450032,37.913107,4.909988,39.726872
so101_act_bottle_cs100,4,565,29.948506,5.411713,10.712517,1.407498,12.416779,18.070058,35.769787,4.699726,41.460429
so101_act_bottle_cs100,5,501,30.610816,3.917420,13.626621,1.241777,11.824998,12.797501,44.515707,4.056661,38.630131
so101_act_bottle_cs100,6,552,29.951278,4.738400,11.275789,1.348595,12.588494,15.820361,37.647104,4.502630,42.029905
so101_act_bottle_cs100,7,562,29.977298,4.978547,11.001289,1.392413,12.605049,16.607725,36.698733,4.644893,42.048648
so101_act_bottle_cs100,8,536,29.961731,3.760569,11.743973,1.490657,12.966532,12.551242,39.196577,4.975204,43.276977
so101_act_bottle_cs100,9,561,29.971594,4.905628,10.936797,1.479277,12.649892,16.367591,36.490543,4.935596,42.206270
so101_act_bottle_cs100,10,562,29.961391,4.629745,10.849039,1.569181,12.913425,15.452372,36.210064,5.237345,43.100220
so101_act_bottle_cs100,11,544,29.968291,4.224919,11.236873,1.302168,13.204332,14.097964,37.495875,4.345151,44.061010
so101_act_bottle_cs100,12,583,29.973099,5.310248,10.208513,1.436013,13.018325,17.716715,34.058916,4.791006,43.433363
so101_act_bottle_cs100,13,575,29.959953,4.722341,10.481808,1.494601,13.261203,15.762177,34.986063,4.988662,44.263099
so101_act_bottle_cs100,14,587,29.958009,4.604610,10.086373,1.433887,13.833139,15.370213,33.668368,4.786324,46.175096
so101_act_bottle_cs100,15,573,29.972644,4.366332,10.512884,1.488023,13.605405,14.567724,35.074929,4.964604,45.392743
so101_act_bottle_cs100,16,585,29.971048,5.094353,10.206547,1.524802,13.145346,16.997579,34.054689,5.087585,43.860147
so101_act_bottle_cs100,17,586,29.964769,4.413740,10.110080,1.477314,13.963634,14.729766,33.739890,4.930171,46.600174
so101_act_bottle_cs100,18,581,29.948862,4.567295,10.107153,1.566381,13.708034,15.250311,33.748036,5.230184,45.771469
so101_act_bottle_cs100,19,550,29.978266,4.936452,11.447005,1.525398,12.069410,16.466771,38.184347,5.088345,40.260536
so101_act_bottle_cs50,0,452,29.983670,3.556857,14.767295,1.058707,10.600810,11.862649,49.251127,3.530945,35.355280
so101_act_bottle_cs50,1,456,29.983790,3.514086,14.801345,1.182965,10.485393,11.719954,49.364490,3.945349,34.970207
so101_act_bottle_cs50,2,460,29.967227,3.536854,14.576774,1.104966,10.748633,11.802407,48.642384,3.687249,35.867960
so101_act_bottle_cs50,3,465,29.967492,3.267698,14.465911,1.016347,11.217536,10.904142,48.272011,3.391498,37.432349
so101_act_bottle_cs50,4,466,29.987151,3.401214,14.248718,1.078457,11.258763,11.342237,47.516077,3.596396,37.545291
so101_act_bottle_cs50,5,455,29.963825,3.027399,14.669571,1.064786,11.202068,10.103512,48.957606,3.553572,37.385309
so101_act_bottle_cs50,6,454,29.978677,3.284758,14.842280,1.069407,10.782232,10.956982,49.509456,3.567226,35.966336
so101_act_bottle_cs50,7,465,29.973404,3.625663,14.311590,1.067061,10.969091,12.096268,47.747628,3.560025,36.596079
